a3_code,scientific_name,species_family,species_order
AAA,Acipenser naccarii,Acipenseridae,ACIPENSERIFORMES
AAB,Acanthopagrus bifasciatus,Sparidae,PERCOIDEI
AAC,Amia calva,Amiidae,AMIIFORMES
AAD,Acipenser dabryanus,Acipenseridae,ACIPENSERIFORMES
AAE,Antennarius analis,Antennariidae,LOPHIIFORMES
AAF,Acipenser fulvescens,Acipenseridae,ACIPENSERIFORMES
AAG,Anguilla bengalensis,Anguillidae,ANGUILLIFORMES
AAH,Acipenser schrenckii,Acipenseridae,ACIPENSERIFORMES
AAI,Acipenser sinensis,Acipenseridae,ACIPENSERIFORMES
AAJ,Anguilla mossambica,Anguillidae,ANGUILLIFORMES
AAK,Acipenser mikadoi,Acipenseridae,ACIPENSERIFORMES
AAL,Anguilla marmorata,Anguillidae,ANGUILLIFORMES
AAM,Acipenser medirostris,Acipenseridae,ACIPENSERIFORMES
AAN,Acipenser nudiventris,Acipenseridae,ACIPENSERIFORMES
AAO,Acipenser oxyrinchus,Acipenseridae,ACIPENSERIFORMES
AAP,Acipenser persicus,Acipenseridae,ACIPENSERIFORMES
AAQ,Anguilla dieffenbachii,Anguillidae,ANGUILLIFORMES
AAR,Anguilla reinhardtii,Anguillidae,ANGUILLIFORMES
AAS,Astacus astacus,Astacidae,REPTANTIA
AAT,Anguilla bicolor,Anguillidae,ANGUILLIFORMES
AAU,Acipenser multiscutatus,Acipenseridae,ACIPENSERIFORMES
AAV,Acaronia vultuosa,Cichlidae,PERCOIDEI
AAW,Anableps anableps,Anablepidae,CYPRINODONTIFORMES
AAX,Aaptosyax grypus,Cyprinidae,CYPRINIFORMES
AAY,Acipenser brevirostrum,Acipenseridae,ACIPENSERIFORMES
AAZ,Aploactis aspera,Aploactinidae,SCORPAENIFORMES
ABA,Albulichthys albuloides,Cyprinidae,CYPRINIFORMES
ABB,Abbottina rivularis,Cyprinidae,CYPRINIFORMES
ABC,Amblypharyngodon microlepis,Cyprinidae,CYPRINIFORMES
ABD,Alburnus albidus,Cyprinidae,CYPRINIFORMES
ABE,Aborichthys elongatus,Balitoridae,CYPRINIFORMES
ABF,Haliotis rufescens,Haliotidae,GASTROPODA
ABG,Haliotis gigantea,Haliotidae,GASTROPODA
ABH,Astroblepus chotae,Astroblepidae,SILURIFORMES
ABI,Alburnoides bipunctatus,Cyprinidae,CYPRINIFORMES
ABJ,Haliotis discus,Haliotidae,GASTROPODA
ABK,Blicca bjoerkna,Cyprinidae,CYPRINIFORMES
ABL,Amblypharyngodon melettinus,Cyprinidae,CYPRINIFORMES
ABM,Haliotis diversicolor,Haliotidae,GASTROPODA
ABN,Acanthobunocephalus nicoi,Aspredinidae,SILURIFORMES
ABO,Amblypharyngodon mola,Cyprinidae,CYPRINIFORMES
ABP,Haliotis midae,Haliotidae,GASTROPODA
ABQ,Abramites eques,Anostomidae,CHARACIFORMES
ABR,Haliotis rubra,Haliotidae,GASTROPODA
ABS,Penaeus aztecus,Penaeidae,NATANTIA
ABT,Amblyrhynchichthys truncatus,Cyprinidae,CYPRINIFORMES
ABU,Abudefduf saxatilis,Pomacentridae,PERCOIDEI
ABV,Alabes parvulus,Gobiesocidae,GOBIESOCIFORMES
ABW,Ablabys binotatus,Tetrarogidae,SCORPAENIFORMES
ABX,Haliotis spp.,Haliotidae,GASTROPODA
ABY,Amblyopsis rosae,Amblyopsidae,PERCOPSIFORMES
ABZ,Ammodytes tobianus,Ammodytidae,TRACHINOIDEI
ACA,Acromycter nezumi,Congridae,ANGUILLIFORMES
ACB,Scapharca broughtonii,Arcidae,BIVALVIA
ACC,Gymnocephalus cernuus,Percidae,PERCOIDEI
ACD,Chlopsis dentatus,Chlopsidae,ANGUILLIFORMES
ACE,Paruroconger drachi,Congridae,ANGUILLIFORMES
ACF,Acestrorhynchus falcatus,Acestrorhynchidae,CHARACIFORMES
ACG,Acanthogobius ommaturus,Gobiidae,GOBIOIDEI
ACH,Salvelinus alpinus,Salmonidae,SALMONIFORMES
ACI,Acnodon normani,Characidae,CHARACIFORMES
ACJ,Japonoconger africanus,Congridae,ANGUILLIFORMES
ACK,Kaupichthys hyoproroides,Chlopsidae,ANGUILLIFORMES
ACL,Heteroconger longissimus,Congridae,ANGUILLIFORMES
ACM,Macrocephenchelys brachialis,Congridae,ANGUILLIFORMES
ACN,Aculeola nigra,Squalidae,SQUALIFORMES
ACO,Coloconger raniceps,Colocongridae,ANGUILLIFORMES
ACP,Chilorhinus platyrhynchus,Chlopsidae,ANGUILLIFORMES
ACQ,Astrocottus leprops,Cottidae,SCORPAENIFORMES
ACR,Acropomatidae,Acropomatidae,PERCOIDEI
ACS,Heteroconger hassi,Congridae,ANGUILLIFORMES
ACT,Paraconger caudilimbatus,Congridae,ANGUILLIFORMES
ACU,Lumiconger arafura,Congridae,ANGUILLIFORMES
ACV,Acanthocepola abbreviata,Cepolidae,PERCOIDEI
ACW,Amblycirrhitus earnshawi,Cirrhitidae,PERCOIDEI
ACX,Acanthaxius caespitosa,Axiidae,REPTANTIA
ACY,Parabathymyrus macrophthalmus,Congridae,ANGUILLIFORMES
ACZ,Cambaridae,Cambaridae,REPTANTIA
ADA,Aspidoras albater,Callichthyidae,SILURIFORMES
ADB,Adontosternarchus balaenops,Apteronotidae,GYMNOTIFORMES
ADC,Acrochordonichthys chamaeleon,Akysidae,SILURIFORMES
ADD,Derichthys serpentinus,Derichthyidae,ANGUILLIFORMES
ADE,Allotoca dugesii,Goodeidae,CYPRINODONTIFORMES
ADF,Aspredinichthys filamentosus,Aspredinidae,SILURIFORMES
ADG,Anadoras grypus,Doradidae,SILURIFORMES
ADH,Amblyglyphidodon aureus,Pomacentridae,PERCOIDEI
ADI,Aplocheilus dayi,Aplocheilidae,CYPRINODONTIFORMES
ADJ,Pardachirus pavoninus,Soleidae,PLEURONECTIFORMES
ADK,Artedidraco skottsbergi,Artedidraconidae,PERCOIDEI
ADL,Antipodocottus elegans,Cottidae,SCORPAENIFORMES
ADM,Autanadoras milesi,Doradidae,SILURIFORMES
ADN,Nessorhamphus ingolfianus,Derichthyidae,ANGUILLIFORMES
ADO,Artediellus dydymovi,Cottidae,SCORPAENIFORMES
ADP,Austrofundulus dolichopterus,Aplocheilidae,CYPRINODONTIFORMES
ADQ,Antipathes dichotoma,Antipathidae,ANTHOZOA
ADR,Aspredo aspredo,Aspredinidae,SILURIFORMES
ADS,Arnoldichthys spilopterus,Alestidae,CHARACIFORMES
ADT,Pardachirus marmoratus,Soleidae,PLEURONECTIFORMES
ADU,Allodontichthys hubbsi,Goodeidae,CYPRINODONTIFORMES
ADV,Apuredoras rivasi,Doradidae,SILURIFORMES
ADW,Artedius corallinus,Cottidae,SCORPAENIFORMES
ADX,Adinia xenica,Fundulidae,CYPRINODONTIFORMES
ADY,Aspredo cotylephorus,Aspredinidae,SILURIFORMES
ADZ,Artedidraco glareobarbatus,Artedidraconidae,PERCOIDEI
AEA,Alestes lateralis,Alestidae,CHARACIFORMES
AEB,Alestes baremoze,Alestidae,CHARACIFORMES
AEC,Astronesthes cyclophotus,Stomiidae,STOMIIFORMES
AED,Alestes dentex,Alestidae,CHARACIFORMES
AEE,Einara edentula,Alepocephalidae,SALMONIFORMES
AEF,Apteronotus albifrons,Apteronotidae,GYMNOTIFORMES
AEG,Astronesthes gemmifer,Stomiidae,STOMIIFORMES
AEH,Alestopetersius brichardi,Alestidae,CHARACIFORMES
AEI,Auchenipterus nigripinnis,Auchenipteridae,SILURIFORMES
AEJ,Astronesthes indicus,Stomiidae,STOMIIFORMES
AEK,Herwigia kreffti,Alepocephalidae,SALMONIFORMES
AEL,Leptoderma lubricum,Alepocephalidae,SALMONIFORMES
AEM,Aethotaxis mitopteryx,Nototheniidae,PERCOIDEI
AEN,Ericara niger,Alepocephalidae,SALMONIFORMES
AEO,Astronesthes leucopogon,Stomiidae,STOMIIFORMES
AEP,Astronesthes neopogon,Stomiidae,STOMIIFORMES
AER,Aequidens rivulatus,Cichlidae,PERCOIDEI
AES,Pandalus montagui,Pandalidae,NATANTIA
AET,Aetapcus maculatus,Pataecidae,SCORPAENIFORMES
AEU,Auchenoceros punctatus,Moridae,GADIFORMES
AEV,Asemichthys taylori,Cottidae,SCORPAENIFORMES
AEW,Atherinosoma wallacei,Atherinidae,ATHERINIFORMES
AEX,Mastacembelus sexdecimspinus,Mastacembelidae,SYNBRANCHIFORMES
AEY,Apteronotus leptorhynchus,Apteronotidae,GYMNOTIFORMES
AEZ,Abyssocottus elochini,Abyssocottidae,SCORPAENIFORMES
AFA,Forbesichthys agassizi,Amblyopsidae,PERCOPSIFORMES
AFB,Aphyoplatys duboisi,Aplocheilidae,CYPRINODONTIFORMES
AFC,Atherinopsis californiensis,Atherinidae,ATHERINIFORMES
AFD,Aphanius dispar,Cyprinodontidae,CYPRINODONTIFORMES
AFE,Aplocheilichthys fuelleborni,Poeciliidae,CYPRINODONTIFORMES
AFF,Atherion africanus,Atherinidae,ATHERINIFORMES
AFG,Asthenomacrurus fragilis,Macrouridae,GADIFORMES
AFH,Aphyosemion ahli,Aplocheilidae,CYPRINODONTIFORMES
AFI,Conocara fiolenti,Alepocephalidae,SALMONIFORMES
AFJ,Aphanius iberus,Cyprinodontidae,CYPRINODONTIFORMES
AFK,Apsilus fuscus,Lutjanidae,PERCOIDEI
AFL,Antennatus flagellatus,Antennariidae,LOPHIIFORMES
AFM,Adamas formosus,Aplocheilidae,CYPRINODONTIFORMES
AFN,Antennarius nummifer,Antennariidae,LOPHIIFORMES
AFO,Aspidophoroides bartoni,Agonidae,SCORPAENIFORMES
AFP,Amphiprion akallopisos,Pomacentridae,PERCOIDEI
AFQ,Paphies australis,Mesodesmatidae,BIVALVIA
AFR,Alloophorus robustus,Goodeidae,CYPRINODONTIFORMES
AFS,Aphanius fasciatus,Cyprinodontidae,CYPRINODONTIFORMES
AFT,Agonus cataphractus,Agonidae,SCORPAENIFORMES
AFU,Alfaro cultratus,Poeciliidae,CYPRINODONTIFORMES
AFV,Aulorhynchus flavidus,Aulorhynchidae,GASTEROSTEIFORMES
AFW,Assessor flavissimus,Plesiopidae,PERCOIDEI
AFX,Amphibolis antarctica,Cymodoceaceae,ANGIOSPERMAE
AFY,Amphiprion akindynos,Pomacentridae,PERCOIDEI
AFZ,Afronandus sheljuzhkoi,Nandidae,PERCOIDEI
AGA,Guentherus altivela,Ateleopodidae,LAMPRIFORMES
AGB,Antipathes grandis,Antipathidae,ANTHOZOA
AGC,Amblygaster clupeoides,Clupeidae,CLUPEIFORMES
AGD,Gymnothorax maderensis,Muraenidae,ANGUILLIFORMES
AGE,Agosia chrysogaster,Cyprinidae,CYPRINIFORMES
AGF,Agmus lyriformis,Aspredinidae,SILURIFORMES
AGG,Gymnothorax moringa,Muraenidae,ANGUILLIFORMES
AGH,Gymnotus pantherinus,Muraenidae,ANGUILLIFORMES
AGI,Gymnothorax polygonius,Muraenidae,ANGUILLIFORMES
AGJ,Argobuccinum olearium,Ranellidae,GASTROPODA
AGK,Gymnothorax unicolor,Muraenidae,ANGUILLIFORMES
AGL,Amblygaster leiogaster,Clupeidae,CLUPEIFORMES
AGM,Alligator mississippiensis,Crocodylidae,CROCODILIA
AGN,Squatina squatina,Squatinidae,SQUALIFORMES
AGO,Gymnothorax pseudothyrsoideus,Muraenidae,ANGUILLIFORMES
AGP,Agrostichthys parkeri,Regalecidae,LAMPRIFORMES
AGQ,Aulostomus strigosus,Aulostomidae,SYNGNATHIFORMES
AGR,Aplodinotus grunniens,Sciaenidae,PERCOIDEI
AGS,Amblygaster sirm,Clupeidae,CLUPEIFORMES
AGT,Gymnothorax meleagris,Muraenidae,ANGUILLIFORMES
AGU,Gymnothorax rueppelliae,Muraenidae,ANGUILLIFORMES
AGV,Altolamprologus calvus,Cichlidae,PERCOIDEI
AGW,Anoplogaster cornuta,Anoplogasteridae,BERYCIFORMES
AGX,Gymnothorax mordax,Muraenidae,ANGUILLIFORMES
AGY,Gymnothorax porphyreus,Muraenidae,ANGUILLIFORMES
AGZ,Argyrocottus zanderi,Cottidae,SCORPAENIFORMES
AHA,Acanthorhodeus asmussii,Cyprinidae,CYPRINIFORMES
AHB,Atopochilus chabanaudi,Mochokidae,SILURIFORMES
AHC,Anchovia macrolepidota,Engraulidae,CLUPEIFORMES
AHD,Abythites lepidogenys,Bythitidae,OPHIDIIFORMES
AHE,Archaulus biseriatus,Cottidae,SCORPAENIFORMES
AHF,Aphanotorulus frankei,Loricariidae,SILURIFORMES
AHG,Psephurus gladius,Polyodontidae,ACIPENSERIFORMES
AHH,Atherina hepsetus,Atherinidae,ATHERINIFORMES
AHI,Acanthocleithron chapini,Mochokidae,SILURIFORMES
AHJ,Amaralia hypsiurus,Aspredinidae,SILURIFORMES
AHK,Alertichthys blacki,Congiopodidae,SCORPAENIFORMES
AHL,Acanthalburnus microlepis,Cyprinidae,CYPRINIFORMES
AHM,Huso dauricus,Acipenseridae,ACIPENSERIFORMES
AHN,Anthias anthias,Serranidae,PERCOIDEI
AHO,Alcichthys alcicornis,Cottidae,SCORPAENIFORMES
AHP,Panturichthys isognathus,Heterenchelyidae,ANGUILLIFORMES
AHQ,Cantheschenia grandisquamis,Monacanthidae,TETRAODONTIFORMES
AHR,Astronesthes niger,Stomiidae,STOMIIFORMES
AHS,Acanthobrama lissneri,Cyprinidae,CYPRINIFORMES
AHT,Acanthobrama terraesanctae,Cyprinidae,CYPRINIFORMES
AHU,Anchovia clupeoides,Engraulidae,CLUPEIFORMES
AHV,Ancharius brevibarbis,Ariidae,SILURIFORMES
AHW,Aristaeomorpha woodmasoni,Aristaeidae,NATANTIA
AHX,Allocyttus spp.,Oreosomatidae,ZEIFORMES
AHY,Pythonichthys sanguineus,Heterenchelyidae,ANGUILLIFORMES
AHZ,Apolemichthys guezei,Pomacanthidae,PERCOIDEI
AIA,Apistus carinatus,Apistidae,SCORPAENIFORMES
AIB,Ambassidae,Ambassidae,PERCOIDEI
AIC,Ailia coila,Schilbeidae,SILURIFORMES
AID,Ijimaia dofleini,Ateleopodidae,LAMPRIFORMES
AIE,Alticorpus macrocleithrum,Cichlidae,PERCOIDEI
AIF,Acanthoclinus fuscus,Plesiopidae,PERCOIDEI
AIG,Astacopsis gouldi,Parastacidae,REPTANTIA
AIH,Ancistrus cirrhosus,Loricariidae,SILURIFORMES
AII,Amphilophus citrinellus,Cichlidae,PERCOIDEI
AIJ,Alticus kirkii,Blenniidae,OTHER PERCIFORMES
AIK,Acarichthys heckelii,Cichlidae,PERCOIDEI
AIL,Acanthochromis polyacanthus,Pomacentridae,PERCOIDEI
AIM,Austrophycis marginata,Moridae,GADIFORMES
AIN,Acentrogobius caninus,Gobiidae,GOBIOIDEI
AIO,Acantholiparis opercularis,Liparidae,SCORPAENIFORMES
AIP,Albatrossia pectoralis,Macrouridae,GADIFORMES
AIQ,Astacopsis franklinii,Parastacidae,REPTANTIA
AIR,Anisarchus macrops,Stichaeidae,ZOARCOIDEI
AIS,Atrosalarias fuscus,Blenniidae,OTHER PERCIFORMES
AIT,Apopterygion alta,Tripterygiidae,OTHER PERCIFORMES
AIU,Apistops caloundra,Apistidae,SCORPAENIFORMES
AIV,Alloblennius parvus,Blenniidae,OTHER PERCIFORMES
AIW,Acanthina monodon,Muricidae,GASTROPODA
AIX,Aidablennius sphynx,Blenniidae,OTHER PERCIFORMES
AIY,Ahliesaurus berryi,Notosudidae,AULOPIFORMES
AIZ,Haliotis kamtschatkana,Haliotidae,GASTROPODA
AJA,Aristeus alcocki,Aristaeidae,NATANTIA
AJB,Bajacalifornia burragei,Alepocephalidae,SALMONIFORMES
AJC,Alaria esculenta,Alariaceae,PHAEOPHYCEAE
AJD,Agonomalus jordani,Agonidae,SCORPAENIFORMES
AJE,Artemia persimilis,Artemiidae,ANOSTRACA
AJF,Haliotis spadicea,Haliotidae,GASTROPODA
AJG,Anthoptilum spp.,Anthoptilidae,ANTHOZOA
AJH,Anthozoa,,ANTHOZOA
AJI,Artemiidae,Artemiidae,ANOSTRACA
AJJ,Artemia sinica,Artemiidae,ANOSTRACA
AJK,Hydrophis stokesii,Elapidae,SQUAMATA
AJL,Cabillus lacertops,Gobiidae,GOBIOIDEI
AJM,Artemia spp.,Artemiidae,ANOSTRACA
AJN,Aristeus semidentatus,Aristaeidae,NATANTIA
AJO,Alcithoe larochei,Volutidae,GASTROPODA
AJP,Aulichthys japonicus,Aulorhynchidae,GASTEROSTEIFORMES
AJQ,Aurelia aurita,Ulmariidae,SCYPHOZOA
AJR,Bolma rugosa,Turbinidae,GASTROPODA
AJS,Abalistes stellaris,Balistidae,TETRAODONTIFORMES
AJT,Artemia tunisiana,Artemiidae,ANOSTRACA
AJU,Artemia urmiana,Artemiidae,ANOSTRACA
AJV,Aeneator recens,Buccinidae,GASTROPODA
AJW,Agonostomus monticola,Mugilidae,MUGILIFORMES
AJX,Acutiserolis spp.,Serolidae,ISOPODA
AJY,Aega monophthalma,Aegidae,ISOPODA
AJZ,Alcyonacea,,ANTHOZOA
AKA,Anomalops katoptron,Anomalopidae,BERYCIFORMES
AKB,Acanthopagrus butcheri,Sparidae,PERCOIDEI
AKC,Astacus pachypus,Astacidae,REPTANTIA
AKD,Acentrogobius dayi,Gobiidae,GOBIOIDEI
AKE,Anisochromis kenyae,Pseudochromidae,PERCOIDEI
AKF,Akysis fuscus,Akysidae,SILURIFORMES
AKG,Achoerodus gouldii,Labridae,PERCOIDEI
AKH,Acropoma hanedai,Acropomatidae,PERCOIDEI
AKI,Archoplites interruptus,Centrarchidae,PERCOIDEI
AKJ,Acanthocardia echinata,Cardiidae,BIVALVIA
AKK,Acanthocardia aculeata,Cardiidae,BIVALVIA
AKL,Acantholabrus palloni,Labridae,PERCOIDEI
AKM,Acantholumpenus mackayi,Stichaeidae,ZOARCOIDEI
AKN,Akarotaxis nudiceps,Bathydraconidae,PERCOIDEI
AKO,Bellocia koefoedi,Alepocephalidae,SALMONIFORMES
AKP,Acantharchus pomotis,Centrarchidae,PERCOIDEI
AKQ,Arca navicularis,Arcidae,BIVALVIA
AKR,Ambloplites rupestris,Centrarchidae,PERCOIDEI
AKS,Acetes japonicus,Sergestidae,NATANTIA
AKT,Anomalochromis thomasi,Cichlidae,PERCOIDEI
AKU,Acanthopagrus australis,Sparidae,PERCOIDEI
AKV,Askoldia variegata,Stichaeidae,ZOARCOIDEI
AKW,Aphrodita aculeata,Aphroditidae,POLYCHAETA
AKX,Paphies spp.,Mesodesmatidae,BIVALVIA
AKY,Adrianichthys kruyti,Adrianichthyidae,BELONIFORMES
AKZ,Aiakas zinorum,Zoarcidae,ZOARCOIDEI
ALA,Alectis alexandrinus,Carangidae,PERCOIDEI
ALB,Thunnus alalunga,Scombridae,SCOMBROIDEI
ALC,Alepocephalus bairdii,Alepocephalidae,SALMONIFORMES
ALD,Apletodon dentatus,Gobiesocidae,GOBIESOCIFORMES
ALE,Alosa pseudoharengus,Clupeidae,CLUPEIFORMES
ALF,Beryx spp.,Berycidae,BERYCIFORMES
ALG,Allenichthys glauerti,Antennariidae,LOPHIIFORMES
ALH,Alepocephalus spp.,Alepocephalidae,SALMONIFORMES
ALI,Alepisaurus spp.,Alepisauridae,AULOPIFORMES
ALJ,Tragulichthys jaculiferus,Diodontidae,TETRAODONTIFORMES
ALK,Gadus chalcogrammus,Gadidae,GADIFORMES
ALL,Allocyttus verrucosus,Oreosomatidae,ZEIFORMES
ALM,Aluterus monoceros,Monacanthidae,TETRAODONTIFORMES
ALN,Aluterus scriptus,Monacanthidae,TETRAODONTIFORMES
ALO,Alepisaurus brevirostris,Alepisauridae,AULOPIFORMES
ALP,Pleuronectes quadrituberculat.,Pleuronectidae,PLEURONECTIFORMES
ALQ,Atherinella argentea,Atherinidae,ATHERINIFORMES
ALR,Alburnus alburnus,Cyprinidae,CYPRINIFORMES
ALS,Carcharhinus albimarginatus,Carcharhinidae,CARCHARHINIFORMES
ALT,Aluterus spp.,Monacanthidae,TETRAODONTIFORMES
ALU,Albulidae,Albulidae,ALBULIFORMES
ALV,Alopias vulpinus,Alopiidae,LAMNIFORMES
ALW,Leptenchelys vermiformis,Ophichthidae,ANGUILLIFORMES
ALX,Alepisaurus ferox,Alepisauridae,AULOPIFORMES
ALY,Letharchus velifer,Ophichthidae,ANGUILLIFORMES
ALZ,Diomedeidae,Diomedeidae,PROCELLARIIFORMES
AMA,Anarchias allardicei,Muraenidae,ANGUILLIFORMES
AMB,Seriola dumerili,Carangidae,PERCOIDEI
AMC,Myroconger compressus,Myrocongridae,ANGUILLIFORMES
AMD,Echidna catenata,Muraenidae,ANGUILLIFORMES
AME,Echidna nebulosa,Muraenidae,ANGUILLIFORMES
AMF,Cirrimaxilla formosa,Muraenidae,ANGUILLIFORMES
AMG,Gymnothorax flavimarginatus,Muraenidae,ANGUILLIFORMES
AMH,Channomuraena vittata,Muraenidae,ANGUILLIFORMES
AMI,Gymnothorax funebris,Muraenidae,ANGUILLIFORMES
AMJ,Seriola quinqueradiata,Carangidae,PERCOIDEI
AMK,Enchelycore bayeri,Muraenidae,ANGUILLIFORMES
AML,Carcharhinus amblyrhynchos,Carcharhinidae,CARCHARHINIFORMES
AMM,Moringua edwardsi,Moringuidae,ANGUILLIFORMES
AMN,Neoconger tuberculatus,Moringuidae,ANGUILLIFORMES
AMO,Gymnomuraena zebra,Muraenidae,ANGUILLIFORMES
AMP,Echidna peli,Muraenidae,ANGUILLIFORMES
AMQ,Enchelynassa canina,Muraenidae,ANGUILLIFORMES
AMR,Enchelycore pardalis,Muraenidae,ANGUILLIFORMES
AMS,Artemia salina,Artemiidae,ANOSTRACA
AMT,Gymnothorax vicinus,Muraenidae,ANGUILLIFORMES
AMU,Esox reichertii,Esocidae,ESOCIFORMES
AMV,Gymnothorax dovii,Muraenidae,ANGUILLIFORMES
AMW,Gymnothorax ocellatus,Muraenidae,ANGUILLIFORMES
AMX,Seriola spp.,Carangidae,PERCOIDEI
AMY,Echidna polyzona,Muraenidae,ANGUILLIFORMES
AMZ,Gymnothorax undulatus,Muraenidae,ANGUILLIFORMES
ANA,Engraulis anchoita,Engraulidae,CLUPEIFORMES
ANB,Anchoa mitchilli,Engraulidae,CLUPEIFORMES
ANC,Engraulis capensis,Engraulidae,CLUPEIFORMES
AND,Tylosurus acus,Belonidae,BELONIFORMES
ANE,Engraulis encrasicolus,Engraulidae,CLUPEIFORMES
ANF,Lophiidae,Lophiidae,LOPHIIFORMES
ANG,Lophius americanus,Lophiidae,LOPHIIFORMES
ANI,Champsocephalus gunnari,Channichthyidae,PERCOIDEI
ANJ,Aristeus antillensis,Aristaeidae,NATANTIA
ANK,Lophius budegassa,Lophiidae,LOPHIIFORMES
ANL,Labichthys carinatus,Nemichthyidae,ANGUILLIFORMES
ANM,Nemichthys scolopaceus,Nemichthyidae,ANGUILLIFORMES
ANN,Diplodus annularis,Sparidae,PERCOIDEI
ANO,Annamia normani,Balitoridae,CYPRINIFORMES
ANP,Anotopterus pharao,Anotopteridae,AULOPIFORMES
ANQ,Atherinomorus balabacensis,Atherinidae,ATHERINIFORMES
ANR,Lycengraulis grossidens,Engraulidae,CLUPEIFORMES
ANS,Pleuragramma antarcticum,Nototheniidae,PERCOIDEI
ANT,Antimora rostrata,Moridae,GADIFORMES
ANU,Nemichthys curvirostris,Nemichthyidae,ANGUILLIFORMES
ANV,Avocettina infans,Nemichthyidae,ANGUILLIFORMES
ANW,Pomacanthidae,Pomacanthidae,PERCOIDEI
ANX,Engraulidae,Engraulidae,CLUPEIFORMES
ANY,Anabarilius polylepis,Cyprinidae,CYPRINIFORMES
ANZ,Aulotrachichthys novaezelandicus,Trachichthyidae,BERYCIFORMES
AOA,Achirophichthys kampeni,Ophichthidae,ANGUILLIFORMES
AOB,Bascanichthys bascanoides,Ophichthidae,ANGUILLIFORMES
AOC,Aplatophis chauliodus,Ophichthidae,ANGUILLIFORMES
AOD,Dalophis obtusirostris,Ophichthidae,ANGUILLIFORMES
AOE,Ahlia egmontis,Ophichthidae,ANGUILLIFORMES
AOF,Herpetoichthys fossatus,Ophichthidae,ANGUILLIFORMES
AOG,Gordiichthys irretitus,Ophichthidae,ANGUILLIFORMES
AOH,Hemerorhinus opici,Ophichthidae,ANGUILLIFORMES
AOI,Cirrhimuraena inhacae,Ophichthidae,ANGUILLIFORMES
AOJ,Cirricaecula johnsoni,Ophichthidae,ANGUILLIFORMES
AOK,Apterichtus kendalli,Ophichthidae,ANGUILLIFORMES
AOL,Caralophia loxochila,Ophichthidae,ANGUILLIFORMES
AOM,Echelus myrus,Ophichthidae,ANGUILLIFORMES
AON,Atherinops affinis,Atherinidae,ATHERINIFORMES
AOO,Callechelys catostomus,Ophichthidae,ANGUILLIFORMES
AOP,Aprognathodon platyventris,Ophichthidae,ANGUILLIFORMES
AOQ,Lamnostoma polyophthalma,Ophichthidae,ANGUILLIFORMES
AOR,Ethadophis byrnei,Ophichthidae,ANGUILLIFORMES
AOS,Evips percinctus,Ophichthidae,ANGUILLIFORMES
AOT,Caecula pterygera,Ophichthidae,ANGUILLIFORMES
AOU,Echiophis punctifer,Ophichthidae,ANGUILLIFORMES
AOV,Elapsopis versicolor,Ophichthidae,ANGUILLIFORMES
AOW,Aeoliscus punctulatus,Centriscidae,SYNGNATHIFORMES
AOX,Ichthyapus acuticeps,Ophichthidae,ANGUILLIFORMES
AOY,Brachysomophis crocodilinus,Ophichthidae,ANGUILLIFORMES
AOZ,Leiuranus semicinctus,Ophichthidae,ANGUILLIFORMES
APA,Apristurus manis,Scyliorhinidae,CARCHARHINIFORMES
APB,Acipenser baerii,Acipenseridae,ACIPENSERIFORMES
APC,Apristurus saldanha,Scyliorhinidae,CARCHARHINIFORMES
APD,Apristurus indicus,Scyliorhinidae,CARCHARHINIFORMES
APE,Acipenser stellatus,Acipenseridae,ACIPENSERIFORMES
APF,Apristurus maderensis,Scyliorhinidae,CARCHARHINIFORMES
APG,Acipenser gueldenstaedtii,Acipenseridae,ACIPENSERIFORMES
APH,Aphanopus intermedius,Trichiuridae,SCOMBROIDEI
API,Apristurus spp.,Scyliorhinidae,CARCHARHINIFORMES
APJ,Apristurus sibogae,Scyliorhinidae,CARCHARHINIFORMES
APK,Apristurus parvipinnis,Scyliorhinidae,CARCHARHINIFORMES
APL,Plantae aquaticae,,PLANTAE AQUATICAE MISCELLANEA
APM,Apristurus macrostomus,Scyliorhinidae,CARCHARHINIFORMES
APN,Acipenser transmontanus,Acipenseridae,ACIPENSERIFORMES
APO,Apogonidae,Apogonidae,PERCOIDEI
APP,Apristurus profundorum,Scyliorhinidae,CARCHARHINIFORMES
APQ,Apristurus laurussonii,Scyliorhinidae,CARCHARHINIFORMES
APR,Acipenser ruthenus,Acipenseridae,ACIPENSERIFORMES
APS,Penaeus duorarum,Penaeidae,NATANTIA
APU,Acipenser sturio,Acipenseridae,ACIPENSERIFORMES
APV,Apristurus investigatoris,Scyliorhinidae,CARCHARHINIFORMES
APW,Apristurus nasutus,Scyliorhinidae,CARCHARHINIFORMES
APX,Apristurus microps,Scyliorhinidae,CARCHARHINIFORMES
APY,Apristurus micropterygeus,Scyliorhinidae,CARCHARHINIFORMES
APZ,Apristurus platyrhynchus,Scyliorhinidae,CARCHARHINIFORMES
AQA,Acentronura australe,Syngnathidae,SYNGNATHIFORMES
AQB,Acanthurus bahianus,Acanthuridae,ACANTHUROIDEI
AQC,Asquamiceps caeruleus,Alepocephalidae,SALMONIFORMES
AQD,Apeltes quadracus,Gasterosteidae,GASTEROSTEIFORMES
AQE,Aequorea aequorea,Aequoreidae,HYDROZOA
AQF,Mactra californica,Mactridae,BIVALVIA
AQG,Mactra largillierti,Mactridae,BIVALVIA
AQH,Acanthurus chirurgus,Acanthuridae,ACANTHUROIDEI
